"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NQTRF","2023-09-08","SLV","2955060","3143","4024985","Q"
"NYTRF","2023-09-08","SLV","537345","3977","585702","N"
"NCTRF","2023-09-08","SLV","15036","0","21006","B"
"NCTRF","2023-09-07","SLV","11165","0","11779","B"
"NYTRF","2023-09-07","SLV","72282","1685","207244","N"
"NQTRF","2023-09-07","SLV","2140797","0","3072770","Q"
"NYTRF","2023-09-06","SLV","38229","326","132922","N"
"NQTRF","2023-09-06","SLV","2673761","98","3489725","Q"
"NCTRF","2023-09-06","SLV","13775","0","22992","B"
"NYTRF","2023-09-05","SLV","100101","327","185237","N"
"NQTRF","2023-09-05","SLV","3277194","5174","5580157","Q"
"NCTRF","2023-09-05","SLV","29693","0","37934","B"
"NYTRF","2023-09-01","SLV","81227","4707","206677","N"
"NCTRF","2023-09-01","SLV","2993","0","8733","B"
"NQTRF","2023-09-01","SLV","1462783","3023","2523275","Q"
"NYTRF","2023-08-31","SLV","465399","2693","542513","N"
"NCTRF","2023-08-31","SLV","12590","0","15937","B"
"NQTRF","2023-08-31","SLV","1043659","0","2491601","Q"
"NQTRF","2023-08-30","SLV","1563239","5225","3541420","Q"
"NCTRF","2023-08-30","SLV","8559","0","16748","B"
"NYTRF","2023-08-30","SLV","54228","948","156111","N"
"NYTRF","2023-08-29","SLV","76112","2296","200947","N"
"NQTRF","2023-08-29","SLV","1910500","1462","3944090","Q"
"NCTRF","2023-08-29","SLV","8628","0","26417","B"
"NYTRF","2023-08-28","SLV","28659","175","165337","N"
"NCTRF","2023-08-28","SLV","3025","0","11751","B"
"NQTRF","2023-08-28","SLV","754995","1313","2372549","Q"
"NQTRF","2023-08-25","SLV","1961880","14360","3948358","Q"
"NCTRF","2023-08-25","SLV","11907","0","22494","B"
"NYTRF","2023-08-25","SLV","46557","376","154205","N"
"NCTRF","2023-08-24","SLV","2331","0","6117","B"
"NYTRF","2023-08-24","SLV","75074","6048","217979","N"
"NQTRF","2023-08-24","SLV","2361772","3000","3462456","Q"
"NCTRF","2023-08-23","SLV","20651","0","28742","B"
"NQTRF","2023-08-23","SLV","2894848","6651","5954566","Q"
"NYTRF","2023-08-23","SLV","115932","15764","240025","N"
"NCTRF","2023-08-22","SLV","4540","0","10369","B"
"NYTRF","2023-08-22","SLV","103359","469","180067","N"
"NQTRF","2023-08-22","SLV","2189278","3610","4265246","Q"
"NCTRF","2023-08-21","SLV","7047","0","15389","B"
"NQTRF","2023-08-21","SLV","1277998","199","3348869","Q"
"NYTRF","2023-08-21","SLV","72114","1657","222616","N"
"NYTRF","2023-08-18","SLV","32916","704","100745","N"
"NCTRF","2023-08-18","SLV","3763","0","5301","B"
"NQTRF","2023-08-18","SLV","1664023","0","3251899","Q"
"NCTRF","2023-08-17","SLV","1793","0","10434","B"
"NQTRF","2023-08-17","SLV","2703033","655","6288126","Q"
"NYTRF","2023-08-17","SLV","50893","611","216116","N"
"NYTRF","2023-08-16","SLV","56058","822","126379","N"
"NCTRF","2023-08-16","SLV","5747","0","9206","B"
"NQTRF","2023-08-16","SLV","2279727","2525","3984650","Q"
"NYTRF","2023-08-15","SLV","57237","364","150246","N"
"NCTRF","2023-08-15","SLV","8783","0","17437","B"
"NQTRF","2023-08-15","SLV","1122358","15602","2539007","Q"
"NQTRF","2023-08-14","SLV","1066645","11365","3051805","Q"
"NYTRF","2023-08-14","SLV","41532","0","136769","N"
"NCTRF","2023-08-14","SLV","9360","0","13492","B"
"NCTRF","2023-08-11","SLV","7946","0","20971","B"
