"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NQTRF","2023-10-06","SURE","27","0","36","Q"
"NCTRF","2023-10-06","SURG","900","0","900","B"
"NQTRF","2023-10-06","SURG","9663","80","16976","Q"
"NYTRF","2023-10-06","SURG","3970","3970","4173","N"
"ORF","2023-10-06","SURRY","1","0","1","O"
"NYTRF","2023-10-06","SUSA","163","0","992","N"
"NCTRF","2023-10-06","SUSA","4","0","83","B"
"NQTRF","2023-10-06","SUSA","19933","552","34148","Q"
"NQTRF","2023-10-06","SUSB","120627","0","173817","Q"
"NCTRF","2023-10-06","SUSC","100","0","100","B"
"NQTRF","2023-10-06","SUSC","35565","0","310207","Q"
"NQTRF","2023-10-06","SUSL","9658","253","15829","Q"
"NYTRF","2023-10-06","SUSL","5","0","28","N"
"ORF","2023-10-06","SUTI","87089593","0","168314999","O"
"ORF","2023-10-06","SUTNY","13705","0","50796","O"
"ORF","2023-10-06","SUUFF","3893","0","7271","O"
"ORF","2023-10-06","SUUNF","19835","0","33347","O"
"NQTRF","2023-10-06","SUZ","239357","9206","366688","Q"
"NYTRF","2023-10-06","SUZ","18859","0","20378","N"
"NQTRF","2023-10-06","SVAL","5551","0","19220","Q"
"NYTRF","2023-10-06","SVAL","79","0","80","N"
"NCTRF","2023-10-06","SVC","1","0","1","B"
"NQTRF","2023-10-06","SVC","170400","12","243837","Q"
"NYTRF","2023-10-06","SVC","1349","16","1350","N"
"NCTRF","2023-10-06","SVFD","300","0","400","B"
"NQTRF","2023-10-06","SVFD","15329","540","59183","Q"
"NYTRF","2023-10-06","SVFD","4683","5","11517","N"
"NQTRF","2023-10-06","SVIIU","200","0","300","Q"
"NCTRF","2023-10-06","SVIX","5953","0","10810","B"
"NQTRF","2023-10-06","SVIX","578066","2770","974563","Q"
"NYTRF","2023-10-06","SVIX","22342","155","32041","N"
"NCTRF","2023-10-06","SVM","10458","0","15458","B"
"NQTRF","2023-10-06","SVM","232717","0","547779","Q"
"NYTRF","2023-10-06","SVM","803","0","7610","N"
"ORF","2023-10-06","SVMFF","19789","0","22789","O"
"ORF","2023-10-06","SVNDY","61436","0","197727","O"
"ORF","2023-10-06","SVNLY","17225","0","88196","O"
"NCTRF","2023-10-06","SVOL","100","0","100","B"
"NQTRF","2023-10-06","SVOL","81345","2378","228625","Q"
"NYTRF","2023-10-06","SVOL","4829","2311","12827","N"
"NQTRF","2023-10-06","SVRA","37891","4","44810","Q"
"NYTRF","2023-10-06","SVRA","223","0","2401","N"
"NQTRF","2023-10-06","SVRE","68","0","1522","Q"
"NYTRF","2023-10-06","SVRE","472","0","990","N"
"ORF","2023-10-06","SVTNF","2000","0","12000","O"
"NCTRF","2023-10-06","SVV","100","0","249","B"
"NQTRF","2023-10-06","SVV","289256","0","355673","Q"
"NYTRF","2023-10-06","SVV","1152","0","1522","N"
"NCTRF","2023-10-06","SVXY","665","0","5594","B"
"NQTRF","2023-10-06","SVXY","42107","900","200357","Q"
"NYTRF","2023-10-06","SVXY","11300","0","16244","N"
"NQTRF","2023-10-06","SWAG","47","0","595","Q"
"NYTRF","2023-10-06","SWAG","7","0","23","N"
"NQTRF","2023-10-06","SWAN","2","0","18440","Q"
"NCTRF","2023-10-06","SWAV","365","0","565","B"
"NQTRF","2023-10-06","SWAV","114201","0","160821","Q"
"NYTRF","2023-10-06","SWAV","1145","0","3913","N"
"NCTRF","2023-10-06","SWBI","175","0","175","B"
"NQTRF","2023-10-06","SWBI","65781","0","97085","Q"
