"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NQTRF","2024-09-12","TRVI","10135","0","41589","Q"
"NYTRF","2024-09-12","TRVI","100","0","1043","N"
"NCTRF","2024-09-11","TRVI","2170","0","2170","B"
"NQTRF","2024-09-11","TRVI","38891","0","245482","Q"
"NYTRF","2024-09-11","TRVI","1","0","2801","N"
"NQTRF","2024-09-10","TRVI","37318","0","120161","Q"
"NYTRF","2024-09-10","TRVI","406","0","4607","N"
"NQTRF","2024-09-09","TRVI","42580","200","250801","Q"
"NYTRF","2024-09-09","TRVI","21","0","3556","N"
"NQTRF","2024-09-06","TRVI","6045","100","24420","Q"
"NYTRF","2024-09-06","TRVI","463","0","565","N"
"NQTRF","2024-09-05","TRVI","50651","696","139254","Q"
"NYTRF","2024-09-05","TRVI","732","0","866","N"
"NQTRF","2024-09-04","TRVI","40759","200","48452","Q"
"NYTRF","2024-09-04","TRVI","891","0","1331","N"
"NQTRF","2024-09-03","TRVI","18932","0","34285","Q"
"NYTRF","2024-09-03","TRVI","837","0","1558","N"
"NQTRF","2024-08-30","TRVI","69240","0","154338","Q"
"NYTRF","2024-08-30","TRVI","4305","0","5242","N"
"NQTRF","2024-08-29","TRVI","9135","0","43313","Q"
"NYTRF","2024-08-29","TRVI","959","0","1472","N"
"NQTRF","2024-08-28","TRVI","6317","0","137436","Q"
"NYTRF","2024-08-28","TRVI","104","0","1487","N"
"NQTRF","2024-08-27","TRVI","14746","100","17956","Q"
"NYTRF","2024-08-27","TRVI","419","0","704","N"
"NQTRF","2024-08-26","TRVI","13048","0","35380","Q"
"NYTRF","2024-08-26","TRVI","3566","0","4051","N"
"NQTRF","2024-08-23","TRVI","12199","0","97985","Q"
"NYTRF","2024-08-23","TRVI","300","0","1324","N"
"NQTRF","2024-08-22","TRVI","12113","0","23738","Q"
"NYTRF","2024-08-22","TRVI","598","0","757","N"
"NQTRF","2024-08-21","TRVI","10517","0","19246","Q"
"NYTRF","2024-08-21","TRVI","4447","1909","5390","N"
"NQTRF","2024-08-20","TRVI","18606","975","21578","Q"
"NYTRF","2024-08-20","TRVI","346","0","1154","N"
"NCTRF","2024-08-19","TRVI","600","600","600","B"
"NQTRF","2024-08-19","TRVI","23279","1200","51664","Q"
"NYTRF","2024-08-19","TRVI","487","101","1492","N"
"NQTRF","2024-08-16","TRVI","24645","100","28576","Q"
"NYTRF","2024-08-16","TRVI","331","0","336","N"
"NQTRF","2024-08-15","TRVI","23508","2833","39176","Q"
