"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NQTRF","2024-05-22","NVNI","1000","0","1897","Q"
"NQTRF","2024-05-21","NVNI","90","0","288","Q"
"NQTRF","2024-05-20","NVNI","820","0","5338","Q"
"NYTRF","2024-05-17","NVNI","7","0","7","N"
"NQTRF","2024-05-13","NVNI","700","0","1303","Q"
"NQTRF","2024-05-10","NVNI","102","0","773","Q"
"NQTRF","2024-05-08","NVNI","97","0","383","Q"
"NQTRF","2024-05-06","NVNI","498","0","765","Q"
"NQTRF","2024-05-03","NVNI","1000","0","1027","Q"
"NQTRF","2024-05-02","NVNI","5","0","758","Q"
"NQTRF","2024-04-26","NVNI","663","0","818","Q"
"NQTRF","2024-04-24","NVNI","100","0","576","Q"
"NQTRF","2024-04-23","NVNI","20","12","48","Q"
"NQTRF","2024-04-22","NVNI","976","8","2043","Q"
"NQTRF","2024-04-18","NVNI","119","0","192","Q"
"NQTRF","2024-04-17","NVNI","306","0","936","Q"
"NQTRF","2024-04-15","NVNI","104","0","11494","Q"
"NYTRF","2024-04-15","NVNI","50","0","523","N"
"NQTRF","2024-04-11","NVNI","1285","0","1437","Q"
"NQTRF","2024-04-10","NVNI","203","0","207","Q"
"NQTRF","2024-04-09","NVNI","58","0","159","Q"
"NQTRF","2024-04-08","NVNI","9","0","34","Q"
"NQTRF","2024-04-05","NVNI","2","0","1358","Q"
"NQTRF","2024-04-04","NVNI","392","0","546","Q"
"NQTRF","2024-04-03","NVNI","71","50","1448","Q"
"NQTRF","2024-04-01","NVNI","443","0","1513","Q"
"NQTRF","2024-03-28","NVNI","33","0","881","Q"
"NQTRF","2024-03-27","NVNI","48","0","146","Q"
"NQTRF","2024-03-26","NVNI","83","0","1166","Q"
"NYTRF","2024-03-26","NVNI","160","0","309","N"
"NQTRF","2024-03-25","NVNI","20","0","420","Q"
"NQTRF","2024-03-22","NVNI","109","109","191","Q"
"NQTRF","2024-03-21","NVNI","15","0","102","Q"
"NQTRF","2024-03-20","NVNI","4","0","334","Q"
"NQTRF","2024-03-19","NVNI","120","0","221","Q"
"NQTRF","2024-03-18","NVNI","30","0","1573","Q"
"NQTRF","2024-03-15","NVNI","585","0","1174","Q"
"NYTRF","2024-03-15","NVNI","3","0","3","N"
"NQTRF","2024-03-13","NVNI","10","0","188","Q"
"NYTRF","2024-03-13","NVNI","54","0","54","N"
"NQTRF","2024-03-12","NVNI","4","0","110","Q"
"NQTRF","2024-03-11","NVNI","713","0","3392","Q"
"NYTRF","2024-03-11","NVNI","9","0","158","N"
"NQTRF","2024-03-08","NVNI","102","99","337","Q"
"NQTRF","2024-03-07","NVNI","1","0","194","Q"
"NQTRF","2024-03-06","NVNI","278","78","1066","Q"
"NQTRF","2024-03-05","NVNI","745","0","1030","Q"
"NQTRF","2024-03-04","NVNI","52","0","627","Q"
"NYTRF","2024-03-04","NVNI","154","4","163","N"
"NQTRF","2024-03-01","NVNI","290","0","315","Q"
"NYTRF","2024-03-01","NVNI","55","0","55","N"
"NQTRF","2024-02-29","NVNI","4530","1026","7223","Q"
"NYTRF","2024-02-29","NVNI","210","0","914","N"
"NQTRF","2024-02-28","NVNI","1103","0","2479","Q"
"NQTRF","2024-02-27","NVNI","810","0","1136","Q"
"NQTRF","2024-02-26","NVNI","500","0","588","Q"
"NYTRF","2024-02-26","NVNI","100","0","100","N"
"NQTRF","2024-02-23","NVNI","51","0","673","Q"
"NQTRF","2024-02-22","NVNI","3694","0","4988","Q"
"NQTRF","2024-02-21","NVNI","1500","0","6641","Q"
"NQTRF","2024-02-20","NVNI","33","0","1928","Q"
"NYTRF","2024-02-20","NVNI","1","0","51","N"
"NCTRF","2024-02-16","NVNI","100","0","300","B"
"NQTRF","2024-02-16","NVNI","13718","0","20650","Q"
"NYTRF","2024-02-16","NVNI","100","0","988","N"
