"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NQTRF","2023-08-11","SILJ","126194","266","345886","Q"
"NCTRF","2023-08-11","SILJ","1800","0","1800","B"
"NYTRF","2023-08-11","SILJ","7095","0","8920","N"
"NYTRF","2023-08-10","SILJ","33101","0","52329","N"
"NQTRF","2023-08-10","SILJ","209955","355","697486","Q"
"NCTRF","2023-08-10","SILJ","410","0","3610","B"
"NQTRF","2023-08-09","SILJ","120639","4695","381196","Q"
"NYTRF","2023-08-09","SILJ","66247","0","77224","N"
"NCTRF","2023-08-09","SILJ","188","0","1788","B"
"NQTRF","2023-08-08","SILJ","132034","800","560696","Q"
"NYTRF","2023-08-08","SILJ","4961","0","10383","N"
"NCTRF","2023-08-08","SILJ","100","0","3502","B"
"NYTRF","2023-08-07","SILJ","5813","1171","25814","N"
"NQTRF","2023-08-07","SILJ","115819","7062","455933","Q"
"NCTRF","2023-08-04","SILJ","800","0","1800","B"
"NYTRF","2023-08-04","SILJ","16097","232","183177","N"
"NQTRF","2023-08-04","SILJ","356205","2511","766702","Q"
"NQTRF","2023-08-03","SILJ","95817","0","431191","Q"
"NYTRF","2023-08-03","SILJ","8883","105","65894","N"
"NCTRF","2023-08-02","SILJ","450","0","3850","B"
"NYTRF","2023-08-02","SILJ","31258","0","84536","N"
"NQTRF","2023-08-02","SILJ","127925","500","590458","Q"
"NYTRF","2023-08-01","SILJ","31215","101","106721","N"
"NQTRF","2023-08-01","SILJ","185024","500","711714","Q"
"NCTRF","2023-08-01","SILJ","2620","0","3120","B"
"NQTRF","2023-07-31","SILJ","241053","186","676581","Q"
"NCTRF","2023-07-31","SILJ","900","0","1300","B"
"NYTRF","2023-07-31","SILJ","13217","0","133768","N"
"NYTRF","2023-07-28","SILJ","6918","0","85919","N"
"NQTRF","2023-07-28","SILJ","118449","0","463169","Q"
"NYTRF","2023-07-27","SILJ","17804","0","124519","N"
"NCTRF","2023-07-27","SILJ","1685","0","1988","B"
"NQTRF","2023-07-27","SILJ","197842","400","910911","Q"
"NQTRF","2023-07-26","SILJ","184378","0","361476","Q"
"NYTRF","2023-07-26","SILJ","8626","0","91544","N"
"NCTRF","2023-07-25","SILJ","397","0","397","B"
"NQTRF","2023-07-25","SILJ","157862","0","313021","Q"
"NYTRF","2023-07-25","SILJ","7735","0","99100","N"
"NCTRF","2023-07-24","SILJ","1300","0","1300","B"
"NQTRF","2023-07-24","SILJ","49713","0","225452","Q"
