"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NYTRF","2023-05-15","RGTI","195107","354","237404","N"
"NCTRF","2023-05-15","RGTI","9599","0","9699","B"
"NQTRF","2023-05-15","RGTI","292835","10916","400495","Q"
"NQTRF","2023-05-12","RGTI","177530","10961","275815","Q"
"NYTRF","2023-05-12","RGTI","45150","111","96402","N"
"NQTRF","2023-05-11","RGTI","216450","0","287151","Q"
"NCTRF","2023-05-11","RGTI","6166","0","6862","B"
"NYTRF","2023-05-11","RGTI","137029","100","195835","N"
"NQTRF","2023-05-10","RGTI","254768","43780","428053","Q"
"NCTRF","2023-05-10","RGTI","7300","0","7300","B"
"NYTRF","2023-05-10","RGTI","127345","520","250999","N"
"NQTRF","2023-05-09","RGTI","133786","5321","168086","Q"
"NYTRF","2023-05-09","RGTI","64315","90","112949","N"
"NCTRF","2023-05-09","RGTI","7829","0","7829","B"
"NQTRF","2023-05-08","RGTI","262551","3100","367702","Q"
"NYTRF","2023-05-08","RGTI","48755","311","82932","N"
"NCTRF","2023-05-08","RGTI","4400","0","4400","B"
"NYTRF","2023-05-05","RGTI","55653","101","78534","N"
"NCTRF","2023-05-05","RGTI","200","0","10000","B"
"NQTRF","2023-05-05","RGTI","64441","2800","149212","Q"
"NCTRF","2023-05-04","RGTI","21308","0","21308","B"
"NYTRF","2023-05-04","RGTI","35010","0","83502","N"
"NQTRF","2023-05-04","RGTI","143396","4915","252609","Q"
"NYTRF","2023-05-03","RGTI","113863","0","194496","N"
"NQTRF","2023-05-03","RGTI","195494","1900","458981","Q"
"NCTRF","2023-05-02","RGTI","4400","0","5257","B"
"NQTRF","2023-05-02","RGTI","144116","3802","233481","Q"
"NYTRF","2023-05-02","RGTI","41730","142","72487","N"
"NYTRF","2023-05-01","RGTI","71917","600","110875","N"
"NQTRF","2023-05-01","RGTI","157649","8047","207449","Q"
"NCTRF","2023-05-01","RGTI","100","0","1300","B"
"NCTRF","2023-04-28","RGTI","100","0","100","B"
"NQTRF","2023-04-28","RGTI","148104","0","200741","Q"
"NYTRF","2023-04-28","RGTI","16683","0","32747","N"
"NCTRF","2023-04-27","RGTI","1100","0","1600","B"
"NQTRF","2023-04-27","RGTI","140432","0","177469","Q"
"NYTRF","2023-04-27","RGTI","23599","0","62337","N"
"NQTRF","2023-04-26","RGTI","93919","2517","154998","Q"
"NYTRF","2023-04-26","RGTI","54827","1","108073","N"
"NYTRF","2023-04-25","RGTI","28743","0","49824","N"
"NQTRF","2023-04-25","RGTI","70531","1002","87146","Q"
"NYTRF","2023-04-24","RGTI","65713","500","98075","N"
"NCTRF","2023-04-24","RGTI","2668","0","6168","B"
"NQTRF","2023-04-24","RGTI","126968","200","169132","Q"
"NQTRF","2023-04-21","RGTI","93849","985","159128","Q"
"NYTRF","2023-04-21","RGTI","40071","100","77048","N"
"NCTRF","2023-04-21","RGTI","300","0","300","B"
"NYTRF","2023-04-20","RGTI","10700","0","69538","N"
"NQTRF","2023-04-20","RGTI","96629","66","153028","Q"
"NQTRF","2023-04-19","RGTI","139616","0","332499","Q"
"NYTRF","2023-04-19","RGTI","70670","0","144365","N"
"NQTRF","2023-04-18","RGTI","167059","9637","285081","Q"
"NYTRF","2023-04-18","RGTI","80428","0","167970","N"
"NYTRF","2023-04-17","RGTI","88951","11298","169803","N"
"NCTRF","2023-04-17","RGTI","100","0","100","B"
"NQTRF","2023-04-17","RGTI","165187","1777","354394","Q"
"NCTRF","2023-04-14","RGTI","395","0","395","B"
"NYTRF","2023-04-14","RGTI","78227","162","229582","N"
"NQTRF","2023-04-14","RGTI","152813","100","479270","Q"
"NQTRF","2023-04-13","RGTI","211442","30109","446955","Q"
"NYTRF","2023-04-13","RGTI","105439","0","180861","N"
"NCTRF","2023-04-13","RGTI","4700","0","4700","B"
"NQTRF","2023-04-12","RGTI","185280","0","318513","Q"
"NYTRF","2023-04-12","RGTI","33809","0","44526","N"
"NCTRF","2023-04-11","RGTI","1600","0","1600","B"
"NYTRF","2023-04-11","RGTI","27685","14","69773","N"
"NQTRF","2023-04-11","RGTI","119438","10887","239231","Q"
"NQTRF","2023-04-10","RGTI","206829","16312","285136","Q"
"NYTRF","2023-04-10","RGTI","63995","0","256590","N"
"NCTRF","2023-04-06","RGTI","400","0","400","B"
"NYTRF","2023-04-06","RGTI","38496","126","55131","N"
"NQTRF","2023-04-06","RGTI","70924","422","199320","Q"
"NQTRF","2023-04-05","RGTI","195098","20621","316219","Q"
"NYTRF","2023-04-05","RGTI","112925","909","313336","N"
"NQTRF","2023-04-04","RGTI","232723","6706","322838","Q"
"NYTRF","2023-04-04","RGTI","255328","311","335500","N"
"NQTRF","2023-04-03","RGTI","143103","10139","192592","Q"
"NYTRF","2023-04-03","RGTI","97103","26","237131","N"
"NQTRF","2023-03-31","RGTI","351976","1648","623903","Q"
"NCTRF","2023-03-31","RGTI","11907","0","11907","B"
"NYTRF","2023-03-31","RGTI","348512","100","538388","N"
"NQTRF","2023-03-30","RGTI","155527","45511","230339","Q"
"NYTRF","2023-03-30","RGTI","50503","0","77526","N"
"NCTRF","2023-03-30","RGTI","700","0","700","B"
"NQTRF","2023-03-29","RGTI","346638","159713","378666","Q"
"NCTRF","2023-03-29","RGTI","2700","0","2700","B"
"NYTRF","2023-03-29","RGTI","123069","0","174416","N"
"NQTRF","2023-03-28","RGTI","189835","28251","380868","Q"
"NYTRF","2023-03-28","RGTI","100338","0","200569","N"
"NCTRF","2023-03-28","RGTI","100","0","500","B"
"NYTRF","2023-03-27","RGTI","107674","109","183295","N"
"NQTRF","2023-03-27","RGTI","360535","44057","603392","Q"
"NCTRF","2023-03-27","RGTI","100","0","300","B"
"NQTRF","2023-03-24","RGTI","129586","17535","157015","Q"
"NYTRF","2023-03-24","RGTI","44517","1100","75484","N"
"NQTRF","2023-03-23","RGTI","121424","21634","154921","Q"
"NYTRF","2023-03-23","RGTI","31540","0","65176","N"
"NCTRF","2023-03-22","RGTI","200","0","200","B"
"NYTRF","2023-03-22","RGTI","38782","0","84880","N"
"NQTRF","2023-03-22","RGTI","168155","18428","259096","Q"
"NYTRF","2023-03-21","RGTI","216231","0","447372","N"
"NQTRF","2023-03-21","RGTI","452397","94347","855955","Q"
"NCTRF","2023-03-21","RGTI","7500","0","7500","B"
"NQTRF","2023-03-20","RGTI","218492","11229","310739","Q"
"NYTRF","2023-03-20","RGTI","51695","0","112197","N"
"NQTRF","2023-03-17","RGTI","293379","50770","357134","Q"
"NYTRF","2023-03-17","RGTI","83034","101","173047","N"
"NCTRF","2023-03-17","RGTI","700","0","1200","B"
"NYTRF","2023-03-16","RGTI","87734","2814","123430","N"
"NQTRF","2023-03-16","RGTI","217437","18266","451867","Q"
"NYTRF","2023-03-15","RGTI","113801","330","182790","N"
"NCTRF","2023-03-15","RGTI","4040","0","4040","B"
"NQTRF","2023-03-15","RGTI","176722","60792","349413","Q"
"NYTRF","2023-03-14","RGTI","78534","455","106918","N"
"NQTRF","2023-03-14","RGTI","299151","70","354078","Q"
"NCTRF","2023-03-13","RGTI","9500","0","9900","B"
"NQTRF","2023-03-13","RGTI","222713","31253","322691","Q"
"NYTRF","2023-03-13","RGTI","118677","889","214197","N"
"NYTRF","2023-03-10","RGTI","136881","80","277278","N"
"NCTRF","2023-03-10","RGTI","1200","0","1300","B"
"NQTRF","2023-03-10","RGTI","307282","67045","452784","Q"
"NYTRF","2023-03-09","RGTI","136957","2044","202904","N"
"NQTRF","2023-03-09","RGTI","86969","1933","152186","Q"
"NYTRF","2023-03-08","RGTI","98869","3900","196245","N"
"NCTRF","2023-03-08","RGTI","500","0","500","B"
"NQTRF","2023-03-08","RGTI","75305","0","155507","Q"
"NYTRF","2023-03-07","RGTI","38879","0","61454","N"
"NCTRF","2023-03-07","RGTI","5000","0","5000","B"
"NQTRF","2023-03-07","RGTI","80942","171","135901","Q"
"NYTRF","2023-03-06","RGTI","46813","0","129774","N"
"NQTRF","2023-03-06","RGTI","102375","988","165815","Q"
"NYTRF","2023-03-03","RGTI","52455","0","152457","N"
"NCTRF","2023-03-03","RGTI","653","0","703","B"
"NQTRF","2023-03-03","RGTI","169147","13781","257256","Q"
"NYTRF","2023-03-02","RGTI","56022","0","91215","N"
"NQTRF","2023-03-02","RGTI","79695","13","168737","Q"
"NYTRF","2023-03-01","RGTI","106262","255","182136","N"
"NQTRF","2023-03-01","RGTI","167976","2947","257959","Q"
"NQTRF","2023-02-28","RGTI","316133","32577","430369","Q"
"NYTRF","2023-02-28","RGTI","151214","1325","248615","N"
"NYTRF","2023-02-27","RGTI","255385","4414","457933","N"
"NQTRF","2023-02-27","RGTI","266765","5776","511517","Q"
"NCTRF","2023-02-27","RGTI","2388","0","2652","B"
